Município;UF;ANO;Mês;1º Decêndio;2º Decêndio;3º Decêndio;Item transferência;Transferência;
Sena Madureira;AC;2019;10;169.13;67.91;0;IPI-EXP;FUNDEB;
Sena Madureira;AC;2019;10;0;0;0;COUN;FUNDEB;
Sena Madureira;AC;2019;10;0;0;0;LC 87;FUNDEB;
Sena Madureira;AC;2019;10;1261.91;36.35;0;ITR;FUNDEB;
Sena Madureira;AC;2019;10;11655.81;4919.29;0;IPVA;FUNDEB;
Sena Madureira;AC;2019;10;924.47;180.74;0;ITCMD;FUNDEB;
Sena Madureira;AC;2019;10;173961.3;204110.84;0;ICMS;FUNDEB;
Sena Madureira;AC;2019;10;116073.24;36534.06;0;DEDU;FUNDEB;
Sena Madureira;AC;2019;10;405939.28;134415.51;0;FPE;FUNDEB;
Senador Guiomard;AC;2019;10;13686.32;0;0;CIDE/Combustível;CIDE-Combustíveis;
Senador Guiomard;AC;2019;10;31847.01;10545.25;0;FPM;FUNDEB;
Senador Guiomard;AC;2019;10;81.07;32.55;0;IPI-EXP;FUNDEB;
Senador Guiomard;AC;2019;10;0;0;0;COUN;FUNDEB;
Senador Guiomard;AC;2019;10;0;0;0;LC 87;FUNDEB;
Senador Guiomard;AC;2019;10;604.85;17.42;0;ITR;FUNDEB;
Senador Guiomard;AC;2019;10;5586.76;2357.88;0;IPVA;FUNDEB;
Senador Guiomard;AC;2019;10;443.11;86.63;0;ITCMD;FUNDEB;
Senador Guiomard;AC;2019;10;83381.58;97832.6;0;ICMS;FUNDEB;
Senador Guiomard;AC;2019;10;69005.75;21917.93;0;DEDU;FUNDEB;
Senador Guiomard;AC;2019;10;194571.21;64426.85;0;FPE;FUNDEB;
Senador Guiomard;AC;2019;10;1702.26;1578.99;0;CFM;Royalties;
Tarauacá;AC;2019;10;22280.4;0;0;CIDE/Combustível;CIDE-Combustíveis;
Tarauacá;AC;2019;10;89249.3;29552.42;0;FPM;FUNDEB;
Tarauacá;AC;2019;10;227.18;91.22;0;IPI-EXP;FUNDEB;
Tarauacá;AC;2019;10;0;0;0;COUN;FUNDEB;
Tarauacá;AC;2019;10;0;0;0;LC 87;FUNDEB;
Tarauacá;AC;2019;10;1695.05;48.83;0;ITR;FUNDEB;
Tarauacá;AC;2019;10;15656.55;6607.81;0;IPVA;FUNDEB;
Tarauacá;AC;2019;10;1241.78;242.77;0;ITCMD;FUNDEB;
Tarauacá;AC;2019;10;233671.79;274169.88;0;ICMS;FUNDEB;
Tarauacá;AC;2019;10;101335.62;32755.37;0;DEDU;FUNDEB;
Tarauacá;AC;2019;10;545273.94;180552.31;0;FPE;FUNDEB;
Xapuri;AC;2019;10;12837.6;0;0;CIDE/Combustível;CIDE-Combustíveis;
Xapuri;AC;2019;10;16389.39;5426.89;0;FPM;FUNDEB;
Xapuri;AC;2019;10;41.72;16.75;0;IPI-EXP;FUNDEB;
Xapuri;AC;2019;10;0;0;0;COUN;FUNDEB;
Xapuri;AC;2019;10;0;0;0;LC 87;FUNDEB;
Xapuri;AC;2019;10;311.27;8.97;0;ITR;FUNDEB;
Xapuri;AC;2019;10;2875.11;1213.44;0;IPVA;FUNDEB;
Xapuri;AC;2019;10;228.03;44.58;0;ITCMD;FUNDEB;
Xapuri;AC;2019;10;42910.56;50347.47;0;ICMS;FUNDEB;
Xapuri;AC;2019;10;77117.11;21770.02;0;DEDU;FUNDEB;
Xapuri;AC;2019;10;100131.94;33155.91;0;FPE;FUNDEB;
Água Branca;AL;2019;10;4962.97;0;0;CIDE/Combustível;CIDE-Combustíveis;
Água Branca;AL;2019;10;97723.5;32358.4;0;FPM;FUNDEB;
Água Branca;AL;2019;10;152.88;61.39;0;IPI-EXP;FUNDEB;
Água Branca;AL;2019;10;0;0;0;COUN;FUNDEB;
Água Branca;AL;2019;10;0;0;0;LC 87;FUNDEB;
Água Branca;AL;2019;10;1365.89;57.5;0;ITR;FUNDEB;
Água Branca;AL;2019;10;18184.25;4403.51;0;IPVA;FUNDEB;
Água Branca;AL;2019;10;1691.13;395.86;0;ITCMD;FUNDEB;
Água Branca;AL;2019;10;98627.6;285517.63;0;ICMS;FUNDEB;
Água Branca;AL;2019;10;109799.92;36202.07;0;DEDU;FUNDEB;
Água Branca;AL;2019;10;171206.24;56690.19;0;FPE;FUNDEB;
Água Branca;AL;2019;10;7.2;7.21;0;CFM;Royalties;
Anadia;AL;2019;10;4701.21;0;0;CIDE/Combustível;CIDE-Combustíveis;
Anadia;AL;2019;10;61409.58;20334.08;0;FPM;FUNDEB;
Anadia;AL;2019;10;96.07;38.57;0;IPI-EXP;FUNDEB;
Anadia;AL;2019;10;0;0;0;COUN;FUNDEB;
Anadia;AL;2019;10;0;0;0;LC 87;FUNDEB;
Anadia;AL;2019;10;858.33;36.13;0;ITR;FUNDEB;
Anadia;AL;2019;10;11427.02;2767.17;0;IPVA;FUNDEB;
Anadia;AL;2019;10;1062.7;248.76;0;ITCMD;FUNDEB;
Anadia;AL;2019;10;61977.74;179419.7;0;ICMS;FUNDEB;
Anadia;AL;2019;10;112045.71;36218.38;0;DEDU;FUNDEB;
Anadia;AL;2019;10;107586.26;35624.2;0;FPE;FUNDEB;
Anadia;AL;2019;10;1041.63;1040.92;0;CFM;Royalties;
Arapiraca;AL;2019;10;45039.12;0;0;CIDE/Combustível;CIDE-Combustíveis;
Arapiraca;AL;2019;10;582900.33;193011.22;0;FPM;FUNDEB;
Arapiraca;AL;2019;10;911.89;366.15;0;IPI-EXP;FUNDEB;
Arapiraca;AL;2019;10;0;0;0;COUN;FUNDEB;
Arapiraca;AL;2019;10;0;0;0;LC 87;FUNDEB;
Arapiraca;AL;2019;10;8147.26;342.98;0;ITR;FUNDEB;
Arapiraca;AL;2019;10;108465.32;26266.01;0;IPVA;FUNDEB;
Arapiraca;AL;2019;10;10087.25;2361.2;0;ITCMD;FUNDEB;
Arapiraca;AL;2019;10;588293.15;1703053.39;0;ICMS;FUNDEB;
Arapiraca;AL;2019;10;590165.87;194624.92;0;DEDU;FUNDEB;
Arapiraca;AL;2019;10;1021209.72;338145.21;0;FPE;FUNDEB;
Arapiraca;AL;2019;10;4261.74;4299.82;0;CFM;Royalties;
Atalaia;AL;2019;10;9621.35;0;0;CIDE/Combustível;CIDE-Combustíveis;
Atalaia;AL;2019;10;191504.06;63411.24;0;FPM;FUNDEB;
Atalaia;AL;2019;10;299.59;120.29;0;IPI-EXP;FUNDEB;
