"Mês","Município","Item transferência","Transferência","1º Decêndio","2º Decêndio","3º Decêndio","Valor total"
2023-01-01,"Amparo do São Francisco","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Aquidabã","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Aracaju","FPM","FPM",16992916.52,6477123.09,14557734.41,38027774.02
2023-01-01,"Arauá","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"Areia Branca","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Barra dos Coqueiros","FPM","FPM",1314464.33,508313.58,1026195.02,2848972.93
2023-01-01,"Boquim","FPM","FPM",1022361.14,395355.01,897920.65,2315636.8
2023-01-01,"Brejo Grande","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Campo do Brito","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Canhoba","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Canindé de São Francisco","FPM","FPM",1022361.14,395355.01,1026195.02,2443911.17
2023-01-01,"Capela","FPM","FPM",1168412.74,451834.3,1026195.02,2646442.06
2023-01-01,"Carira","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Carmópolis","FPM","FPM",730257.97,282396.44,769646.26,1782300.67
2023-01-01,"Cedro de São João","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Cristinápolis","FPM","FPM",876309.55,338875.73,769646.26,1984831.54
2023-01-01,"Cumbe","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Divina Pastora","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Estância","FPM","FPM",1752619.1,677751.44,1539292.53,3969663.07
2023-01-01,"Feira Nova","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Frei Paulo","FPM","FPM",730257.97,282396.44,641371.89,1654026.3
2023-01-01,"Gararu","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
2023-01-01,"General Maynard","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Graccho Cardoso","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Ilha das Flores","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Indiaroba","FPM","FPM",730257.97,282396.44,769646.26,1782300.67
2023-01-01,"Itabaiana","FPM","FPM",2336825.45,903668.58,1924115.65,5164609.68
2023-01-01,"Itabaianinha","FPM","FPM",1314464.33,508313.58,1154469.39,2977247.3
2023-01-01,"Itabi","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Itaporanga D'Ajuda","FPM","FPM",1168412.74,451834.3,1026195.02,2646442.06
2023-01-01,"Japaratuba","FPM","FPM",730257.97,282396.44,769646.26,1782300.67
2023-01-01,"Japoatã","FPM","FPM",584206.37,225917.16,513097.52,1323221.05
