"Mês","Município","Item transferência","Transferência","1º Decêndio","2º Decêndio","3º Decêndio","Valor total"
2023-01-01,"Areia Branca","FPM","FUNDEB",168102.95,64805.25,150023.61,382931.81
2023-01-01,"Areia Branca","IPI-EXP","FUNDEB",217.51,108.1,58.97,384.58
2023-01-01,"Areia Branca","ITR","FUNDEB",141.37,8.55,21.27,171.19
2023-01-01,"Areia Branca","IPVA","FUNDEB",7565,19664.88,5593.02,32822.9
2023-01-01,"Areia Branca","ITCMD","FUNDEB",1042.09,1147.74,415.96,2605.79
2023-01-01,"Areia Branca","ICMS","FUNDEB",83718.38,425360.53,73361.98,582440.89
2023-01-01,"Areia Branca","DEDU","FUNDEB",219126.56,84725.12,192411.56,496263.24
2023-01-01,"Areia Branca","FPE","FUNDEB",438113.5,167900.41,389085.5,995099.41
2023-01-01,"Areia Branca","ANP","Royalties",0,534784.34,186949.64,721733.98
2023-01-01,"Areia Branca","FEP","Royalties",0,34819.2,17078.97,51898.17
2023-01-01,"Areia Branca","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,334.75,334.75
2023-01-01,"Areia Branca","COUN VAAT","FUNDEB",0,0,454869.17,454869.17
2023-01-01,"Barra dos Coqueiros","CIDE/Combustível","CIDE-Combustíveis",200.03,0,0,200.03
2023-01-01,"Barra dos Coqueiros","FPM","FPM",1314464.33,508313.58,1026195.02,2848972.93
2023-01-01,"Barra dos Coqueiros","ITR","ITR",428.52,0,0,428.52
2023-01-01,"Barra dos Coqueiros","FPM","FUNDEB",191182.4,73702.59,170620.87,435505.86
2023-01-01,"Barra dos Coqueiros","IPI-EXP","FUNDEB",247.37,122.94,67.06,437.37
2023-01-01,"Barra dos Coqueiros","ITR","FUNDEB",175.06,9.72,24.19,208.97
2023-01-01,"Barra dos Coqueiros","IPVA","FUNDEB",9367.5,22364.74,6360.9,38093.14
2023-01-01,"Barra dos Coqueiros","ITCMD","FUNDEB",1290.39,1305.32,473.07,3068.78
2023-01-01,"Barra dos Coqueiros","ICMS","FUNDEB",103665.87,483759.8,83434.11,670859.78
2023-01-01,"Barra dos Coqueiros","DEDU","FUNDEB",328723.19,127078.39,256548.74,712350.32
2023-01-01,"Barra dos Coqueiros","FPE","FUNDEB",498263.66,190952.05,442504.43,1131720.14
2023-01-01,"Barra dos Coqueiros","ANP","Royalties",0,593702.2,186949.64,780651.84
2023-01-01,"Barra dos Coqueiros","FEP","Royalties",0,52228.8,22771.96,75000.76
2023-01-01,"Barra dos Coqueiros","CFEM","Royalties",0,32126.93,0,32126.93
2023-01-01,"Barra dos Coqueiros","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,6348.55,6348.55
2023-01-01,"Barra dos Coqueiros","COUN VAAR","FUNDEB",0,0,17947.26,17947.26
2023-01-01,"Boquim","CIDE/Combustível","CIDE-Combustíveis",173.51,0,0,173.51
2023-01-01,"Boquim","FPM","FPM",1022361.14,395355.01,897920.65,2315636.8
2023-01-01,"Boquim","ITR","ITR",4.92,21.96,0,26.88
2023-01-01,"Boquim","FPM","FUNDEB",161416.21,62227.44,144056.01,367699.66
2023-01-01,"Boquim","IPI-EXP","FUNDEB",208.86,103.8,56.62,369.28
2023-01-01,"Boquim","ITR","FUNDEB",149.6,8.21,20.42,178.23
2023-01-01,"Boquim","IPVA","FUNDEB",8005.33,18882.65,5370.54,32258.52
2023-01-01,"Boquim","ITCMD","FUNDEB",1102.75,1102.09,399.42,2604.26
2023-01-01,"Boquim","ICMS","FUNDEB",88591.31,408440.69,70443.81,567475.81
2023-01-01,"Boquim","DEDU","FUNDEB",255591.51,98844.23,224480.15,578915.89
2023-01-01,"Boquim","FPE","FUNDEB",420686.36,161221.72,373608.59,955516.67
2023-01-01,"Boquim","ANP","Royalties",0,302.65,0,302.65
2023-01-01,"Boquim","FEP","Royalties",0,40622.4,19925.46,60547.86
2023-01-01,"Boquim","LC 176/2020 (ADO25)","LC 176/2020 (ADO25)",0,0,332.25,332.25
2023-01-01,"Boquim","COUN VAAT","FUNDEB",0,0,74207.36,74207.36
2023-01-01,"Brejo Grande","CIDE/Combustível","CIDE-Combustíveis",65.29,0,0,65.29
2023-01-01,"Brejo Grande","FPM","FPM",438154.78,169437.86,384823.13,992415.77
2023-01-01,"Brejo Grande","ITR","ITR",45.76,0,0,45.76
2023-01-01,"Brejo Grande","FPM","FUNDEB",83727.33,32277.66,74722.51,190727.5
2023-01-01,"Brejo Grande","IPI-EXP","FUNDEB",108.33,53.84,29.37,191.54
2023-01-01,"Brejo Grande","ITR","FUNDEB",80.84,4.26,10.59,95.69
2023-01-01,"Brejo Grande","IPVA","FUNDEB",4325.89,9794.52,2785.72,16906.13
2023-01-01,"Brejo Grande","ITCMD","FUNDEB",595.9,571.66,207.18,1374.74
2023-01-01,"Brejo Grande","ICMS","FUNDEB",47872.65,211860.05,36539.53,296272.23
2023-01-01,"Brejo Grande","DEDU","FUNDEB",109550.12,42359.46,96205.78,248115.36
